image_path,age,gender,emotion
source_data/UTK-Face/part3/27_0_1_20170120133818199.jpg,2,0,-1
source_data/UTK-Face/part3/24_0_3_20170119165522935.jpg,2,0,-1
source_data/UTK-Face/part3/8_1_0_20170117154607954.jpg,0,1,-1
source_data/UTK-Face/part3/85_1_0_20170120222635457.jpg,6,1,-1
source_data/UTK-Face/part3/26_1_0_20170119192908266.jpg,2,1,-1
source_data/UTK-Face/part3/57_0_0_20170117195457344.jpg,5,0,-1
source_data/UTK-Face/part3/33_0_4_20170116220014045.jpg,3,0,-1
source_data/UTK-Face/part3/78_1_0_20170120225556721.jpg,6,1,-1
source_data/UTK-Face/part3/45_0_0_20170119195628780.jpg,4,0,-1
source_data/UTK-Face/part3/34_1_1_20170116224143264.jpg,3,1,-1
source_data/UTK-Face/part3/27_0_1_20170116010418660.jpg,2,0,-1
source_data/UTK-Face/part3/26_0_2_20170120134050439.jpg,2,0,-1
source_data/UTK-Face/part3/67_0_3_20170119212012082.jpg,6,0,-1
source_data/UTK-Face/part3/45_0_3_20170119200329836.jpg,4,0,-1
source_data/UTK-Face/part3/26_1_3_20170119193113828.jpg,2,1,-1
source_data/UTK-Face/part3/87_0_0_20170120230518577.jpg,6,0,-1
source_data/UTK-Face/part3/32_1_3_20170119200442044.jpg,3,1,-1
source_data/UTK-Face/part3/40_0_3_20170119183828462.jpg,4,0,-1
source_data/UTK-Face/part3/26_0_3_20170119192402842.jpg,2,0,-1
source_data/UTK-Face/part3/26_1_3_20170119150754793.jpg,2,1,-1
source_data/UTK-Face/part3/48_0_0_20170119205302120.jpg,4,0,-1
source_data/UTK-Face/part3/27_1_3_20170119194425057.jpg,2,1,-1
source_data/UTK-Face/part3/29_1_0_20170120133642078.jpg,2,1,-1
source_data/UTK-Face/part3/31_0_2_20170117120426927.jpg,3,0,-1
source_data/UTK-Face/part3/45_0_3_20170119204728031.jpg,4,0,-1
source_data/UTK-Face/part3/28_1_3_20170119195103765.jpg,2,1,-1
source_data/UTK-Face/part3/26_0_0_20170120134406935.jpg,2,0,-1
source_data/UTK-Face/part3/55_0_3_20170119211431441.jpg,5,0,-1
source_data/UTK-Face/part3/93_1_0_20170120225304313.jpg,6,1,-1
source_data/UTK-Face/part3/45_0_0_20170119204119581.jpg,4,0,-1
source_data/UTK-Face/part3/56_0_0_20170119172238128.jpg,5,0,-1
source_data/UTK-Face/part3/90_1_0_20170120140047472.jpg,6,1,-1
source_data/UTK-Face/part3/58_0_3_20170119211539872.jpg,5,0,-1
source_data/UTK-Face/part3/53_0_0_20170117182542501.jpg,5,0,-1
source_data/UTK-Face/part3/36_0_3_20170119183320965.jpg,3,0,-1
source_data/UTK-Face/part3/43_1_0_20170120222412663.jpg,4,1,-1
source_data/UTK-Face/part3/26_0_3_20170119192253329.jpg,2,0,-1
source_data/UTK-Face/part3/24_0_3_20170119164640038.jpg,2,0,-1
source_data/UTK-Face/part3/53_0_1_20170120222553113.jpg,5,0,-1
source_data/UTK-Face/part3/55_0_3_20170119204546494.jpg,5,0,-1
source_data/UTK-Face/part3/34_0_3_20170119163319768.jpg,3,0,-1
source_data/UTK-Face/part3/73_1_0_20170120230335947.jpg,6,1,-1
source_data/UTK-Face/part3/29_0_1_20170117022120994.jpg,2,0,-1
source_data/UTK-Face/part3/26_1_3_20170119192916618.jpg,2,1,-1
source_data/UTK-Face/part3/15_1_1_20170116000638538.jpg,1,1,-1
source_data/UTK-Face/part3/45_0_3_20170119165318518.jpg,4,0,-1
source_data/UTK-Face/part3/32_0_3_20170119200401517.jpg,3,0,-1
source_data/UTK-Face/part3/28_1_3_20170119204506255.jpg,2,1,-1
source_data/UTK-Face/part3/23_1_3_20170119164419982.jpg,2,1,-1
source_data/UTK-Face/part3/25_0_0_20170119171843896.jpg,2,0,-1
source_data/UTK-Face/part3/23_1_3_20170119164509213.jpg,2,1,-1
source_data/UTK-Face/part3/30_0_2_20170119183959989.jpg,3,0,-1
source_data/UTK-Face/part3/63_0_1_20170120221531693.jpg,6,0,-1
source_data/UTK-Face/part3/33_0_3_20170119200505620.jpg,3,0,-1
source_data/UTK-Face/part3/31_1_3_20170119200201348.jpg,3,1,-1
source_data/UTK-Face/part3/38_0_0_20170116001012194.jpg,3,0,-1
source_data/UTK-Face/part3/32_0_3_20170119164310053.jpg,3,0,-1
source_data/UTK-Face/part3/23_0_3_20170119164041958.jpg,2,0,-1
source_data/UTK-Face/part3/54_0_3_20170119180958035.jpg,5,0,-1
source_data/UTK-Face/part3/81_1_1_20170116220014045.jpg,6,1,-1
source_data/UTK-Face/part3/45_0_3_20170119201251044.jpg,4,0,-1
source_data/UTK-Face/part3/36_1_3_20170119202210389.jpg,3,1,-1
source_data/UTK-Face/part3/54_0_2_20170119210027776.jpg,5,0,-1
source_data/UTK-Face/part3/70_0_3_20170119181040603.jpg,6,0,-1
source_data/UTK-Face/part3/35_1_3_20170119150744831.jpg,3,1,-1
source_data/UTK-Face/part3/74_0_0_20170120225142161.jpg,6,0,-1
source_data/UTK-Face/part3/27_1_3_20170119153535105.jpg,2,1,-1
source_data/UTK-Face/part3/30_0_0_20170120223905134.jpg,3,0,-1
source_data/UTK-Face/part3/44_0_3_20170119195144674.jpg,4,0,-1
source_data/UTK-Face/part3/28_1_0_20170119194946890.jpg,2,1,-1
source_data/UTK-Face/part3/26_0_3_20170119192352369.jpg,2,0,-1
source_data/UTK-Face/part3/54_0_3_20170119210115168.jpg,5,0,-1
source_data/UTK-Face/part3/41_0_3_20170119204228535.jpg,4,0,-1
source_data/UTK-Face/part3/37_0_0_20170119202224141.jpg,3,0,-1
source_data/UTK-Face/part3/55_0_3_20170119201108715.jpg,5,0,-1
source_data/UTK-Face/part3/26_1_3_20170119193110266.jpg,2,1,-1
source_data/UTK-Face/part3/35_0_0_20170117135440070.jpg,3,0,-1
source_data/UTK-Face/part3/28_0_3_20170119194513954.jpg,2,0,-1
source_data/UTK-Face/part3/50_0_3_20170119205541880.jpg,5,0,-1
source_data/UTK-Face/part3/50_0_3_20170119204347415.jpg,5,0,-1
source_data/UTK-Face/part3/26_1_3_20170119192546129.jpg,2,1,-1
source_data/UTK-Face/part3/65_0_0_20170120223009912.jpg,6,0,-1
source_data/UTK-Face/part3/47_0_3_20170119205121919.jpg,4,0,-1
source_data/UTK-Face/part3/29_0_1_20170117015458481.jpg,2,0,-1
source_data/UTK-Face/part3/34_0_4_20170117163546730.jpg,3,0,-1
source_data/UTK-Face/part3/26_0_3_20170119183349949.jpg,2,0,-1
source_data/UTK-Face/part3/25_0_3_20170119150353974.jpg,2,0,-1
source_data/UTK-Face/part3/24_0_2_20170119165656526.jpg,2,0,-1
source_data/UTK-Face/part3/30_0_4_20170120133906735.jpg,3,0,-1
