image_path,emotion,age_pseudo,gender_pseudo,age_conf,gender_conf
source_data/raf/DATASET/train/7/train_11651_aligned.jpg,7,-1,0,0.36097866,0.50150836
source_data/raf/DATASET/train/7/train_10043_aligned.jpg,7,0,1,0.6715431,0.961124
source_data/raf/DATASET/train/7/train_11301_aligned.jpg,7,2,1,0.9197295,0.8926691
source_data/raf/DATASET/train/7/train_10513_aligned.jpg,7,-1,1,0.48915356,0.7581682
source_data/raf/DATASET/train/7/train_11148_aligned.jpg,7,2,0,0.7368682,0.5715404
source_data/raf/DATASET/train/7/train_11418_aligned.jpg,7,0,0,0.9184913,0.55916435
source_data/raf/DATASET/train/7/train_10935_aligned.jpg,7,2,0,0.76259124,0.8685577
source_data/raf/DATASET/train/7/train_09985_aligned.jpg,7,-1,1,0.45269552,0.52519655
source_data/raf/DATASET/train/7/train_12072_aligned.jpg,7,0,1,0.98138833,0.59423405
source_data/raf/DATASET/train/7/train_10395_aligned.jpg,7,2,1,0.8070566,0.5950158
source_data/raf/DATASET/train/7/train_11587_aligned.jpg,7,2,1,0.8288226,0.6779809
source_data/raf/DATASET/train/7/train_10368_aligned.jpg,7,2,0,0.7630032,0.5862586
source_data/raf/DATASET/train/7/train_10638_aligned.jpg,7,-1,0,0.33055133,0.9419467
source_data/raf/DATASET/train/7/train_09978_aligned.jpg,7,-1,0,0.43760478,0.6332891
source_data/raf/DATASET/train/7/train_12110_aligned.jpg,7,0,0,0.5877496,0.68270135
source_data/raf/DATASET/train/7/train_10857_aligned.jpg,7,2,0,0.7632689,0.5752678
source_data/raf/DATASET/train/7/train_11263_aligned.jpg,7,2,0,0.8758552,0.55159074
source_data/raf/DATASET/train/7/train_10471_aligned.jpg,7,2,0,0.73589104,0.9123641
source_data/raf/DATASET/train/7/train_11733_aligned.jpg,7,-1,1,0.3538895,0.5738615
source_data/raf/DATASET/train/7/train_10121_aligned.jpg,7,2,0,0.74271166,0.7000702
source_data/raf/DATASET/train/7/train_10033_aligned.jpg,7,-1,0,0.3275549,0.61487615
source_data/raf/DATASET/train/7/train_11621_aligned.jpg,7,2,1,0.9319064,0.9082796
source_data/raf/DATASET/train/7/train_10563_aligned.jpg,7,-1,0,0.46986654,0.9799806
source_data/raf/DATASET/train/7/train_11371_aligned.jpg,7,-1,0,0.43786004,0.9659572
source_data/raf/DATASET/train/7/train_11138_aligned.jpg,7,2,1,0.73599106,0.9320271
source_data/raf/DATASET/train/7/train_11468_aligned.jpg,7,2,0,0.7958278,0.6163893
source_data/raf/DATASET/train/7/train_12002_aligned.jpg,7,2,0,0.5808684,0.66874534
source_data/raf/DATASET/train/7/train_10945_aligned.jpg,7,2,1,0.57181746,0.59952134
source_data/raf/DATASET/train/7/train_10318_aligned.jpg,7,2,0,0.6668393,0.971208
source_data/raf/DATASET/train/7/train_09908_aligned.jpg,7,2,1,0.9857879,0.96417725
source_data/raf/DATASET/train/7/train_10648_aligned.jpg,7,2,0,0.5179089,0.503438
source_data/raf/DATASET/train/7/train_10827_aligned.jpg,7,2,1,0.7141093,0.7149979
source_data/raf/DATASET/train/7/train_09767_aligned.jpg,7,-1,1,0.43546438,0.5392241
source_data/raf/DATASET/train/7/train_11495_aligned.jpg,7,-1,0,0.42698112,0.6942593
source_data/raf/DATASET/train/7/train_10287_aligned.jpg,7,-1,0,0.49505317,0.981868
source_data/raf/DATASET/train/7/train_09897_aligned.jpg,7,2,0,0.5315165,0.5280524
source_data/raf/DATASET/train/7/train_12160_aligned.jpg,7,-1,1,0.25756282,0.8289602
source_data/raf/DATASET/train/7/train_10401_aligned.jpg,7,2,0,0.5279134,0.9383056
source_data/raf/DATASET/train/7/train_11213_aligned.jpg,7,2,0,0.6173022,0.646241
source_data/raf/DATASET/train/7/train_10151_aligned.jpg,7,-1,0,0.49858707,0.7399213
source_data/raf/DATASET/train/7/train_11743_aligned.jpg,7,2,0,0.7664279,0.8529167
source_data/raf/DATASET/train/7/train_11972_aligned.jpg,7,2,1,0.596211,0.582682
source_data/raf/DATASET/train/7/train_11682_aligned.jpg,7,-1,1,0.38607985,0.97886944
source_data/raf/DATASET/train/7/train_10090_aligned.jpg,7,-1,1,0.44814667,0.9468032
source_data/raf/DATASET/train/7/train_09956_aligned.jpg,7,-1,0,0.3567746,0.52236986
source_data/raf/DATASET/train/7/train_10616_aligned.jpg,7,2,0,0.56354535,0.9859378
source_data/raf/DATASET/train/7/train_11004_aligned.jpg,7,-1,1,0.3742428,0.5480324
source_data/raf/DATASET/train/7/train_10346_aligned.jpg,7,2,1,0.6889537,0.93923205
source_data/raf/DATASET/train/7/train_11554_aligned.jpg,7,2,1,0.9092075,0.56227344
source_data/raf/DATASET/train/7/train_10789_aligned.jpg,7,2,1,0.8944969,0.7950813
source_data/raf/DATASET/train/7/train_10879_aligned.jpg,7,2,1,0.6462092,0.62765706
source_data/raf/DATASET/train/7/train_10884_aligned.jpg,7,6,0,0.5967111,0.76571
source_data/raf/DATASET/train/7/train_10224_aligned.jpg,7,-1,1,0.29341957,0.902859
source_data/raf/DATASET/train/7/train_11436_aligned.jpg,7,-1,0,0.2944711,0.9061991
source_data/raf/DATASET/train/7/train_10774_aligned.jpg,7,-1,0,0.47650093,0.78021866
source_data/raf/DATASET/train/7/train_09834_aligned.jpg,7,3,0,0.5208367,0.5098604
source_data/raf/DATASET/train/7/train_11166_aligned.jpg,7,0,0,0.52426696,0.5103363
source_data/raf/DATASET/train/7/train_12215_aligned.jpg,7,-1,0,0.3287591,0.5688559
source_data/raf/DATASET/train/7/train_11810_aligned.jpg,7,0,0,0.7162561,0.58049685
source_data/raf/DATASET/train/7/train_11902_aligned.jpg,7,0,0,0.99207014,0.51679164
source_data/raf/DATASET/train/7/train_10996_aligned.jpg,7,2,0,0.9057933,0.77078384
